activity,date,name,event,description,bonus,points
"Presenting - conference, SIG meeting, meet-up",13-JUN-18,Automatically deploy schema changes with Ansible and Liquibase,ODTUG KScope18,"Database schemas and application code are tightly coupled together, but they’re often maintained and deployed separately.  The open-source project Liquibase helps you manage your schema changes by writing simple JSON or YAML documents. Liquibase makes it easy to deploy to different flavors of databases, rolling changes backward and forward as necessary.  Ansible is an open-source automation tool that enables you to define and run tasks on a set of remote targets. Like Liquibase changelogs, Ansible playbooks are JSON or YAML documents.  Utilizing the two tools together enables you to effectively version control your database schema changes and deploy them to multiple hosts simultaneously.  Agile and DevOps work hand in hand.  This talk introduces Liquibase and Ansible while demonstrating how to use them together.  All sources and examples will be available for download.  This presentation includes live demos.",,20
"Presenting - conference, SIG meeting, meet-up",07-JUN-18,Automatically deploy schema changes with Ansible and Liquibase,nlOUG Tech Experience 2018,"Database schemas and application code are tightly coupled together, but often maintained and deployed separately. The opensource project Liquibase helps you manage your schema changes by writing simple JSON or YAML documents. Liquibase makes it easy to deploy to different flavors of databases and roll changes back and forward. Ansible is an opensource automation tool, that enables you to define and run tasks on a set of remote targets. Like Liquibase changelogs, Ansible playbooks are JSON or YAML documents. Both two tools together enable you to effectively version control your database schema changes and deploy them to multiple hosts at the same time. Agile and DevOps working hand in hand. This talk introduces Liquibase and ansible and demonstrates how to use them together. My session will follow this agenda: • Introduction to Liquibase. • Ansible - a short overview • YAML & JSON: two related file formats • Define changes in Liquibase • Deploy changes with Ansible • Caveats and workarounds All sources and examples will be available for download. This presentation includes live demos.",,20
"Presenting - conference, SIG meeting, meet-up",07-JUN-18,Oracle VM Server - The Undocumentation,nlOUG Tech Experience 2018,"Oracle VM Server is a powerful virtualization environment. The daily administration tasks can be done via the OVM Manager. But the interfaces have limitations and there are occasions when one needs to look under the hood. This talk introduces features, that are not covered by the documentation: * Dealing directly with the Xen Hypervisor * Manipulating the databases of the OVM Agent * Interesting config files * How File Repositories are organized All examples shown are available for download. The presentation provides detailed live demos.",,20
User Group - Elected Board Member,01-JUN-18,DOAG Database Community: Topic Manager Cloud Technologies,,Topic Manager Cloud Technologies,,50
Presenting - video/webinar,17-MAY-18,"CodeTalk: REST Database Links: Access Oracle Databases in The Cloud Using ORDS, REST, and JSON",The 2018 CodeTalk Series Webinars are Co-sponsored by ODTUG and IOUG.,"Hosted by Chris Saxon, Presented by Robert Marz",,20
User Group - Volunteer,14-MAY-18,DOAG DB Conference,,Active staff and room embassador of DOAG DB 18 Conference in Düsseldorf,,25
"Presenting - conference, SIG meeting, meet-up",14-MAY-18,"Anwendungsentwicklung in der Datenbank: PL/SQL, Java und Co",DOAG 2018 Database,Dieser Vortrag gibt einen Überblick über die Anwendungsentwicklung in der Datenbank,,20
"Presenting - conference, SIG meeting, meet-up",23-APR-18,Session ID 1502 - Automatically deploy schema changes with Ansible and Liquibase,IOUG Collaborate 18,"Database schemas and application code are tightly coupled together, but often maintained and deployed separately.  The opensource project Liquibase helps you manage your schema changes by writing simple JSON or YAML documents.  Liquibase makes it easy to deploy to different flavors of databases and roll changes back and forward.  Ansible is an opensource automation tool, that enables you to define and run tasks on a set of remote targets.  Like Liquibase changelogs, Ansible playbooks are JSON or YAML documents.  Both two tools together enable you to effectively version control your database schema changes and deploy them to multiple hosts at the same time.  Agile and DevOps working hand in hand.  This talk introduces Liquibase and ansible and demonstrates how to use them together.  ",,20
"Presenting - conference, SIG meeting, meet-up",23-APR-18,"SessionID 1501 rest-db-links - access Oracle Databases in the Cloud using ORDS, REST & JSON",IOUG Collaborate 18,"This talk covers a real-world solution, that recreates database links using ORDS, REST and JSON. It breaks the limits of database links by loosely coupling two databases. The complexity is completely hidden from users and developers.  Modern technologies such as REST and JSON offer elegant ways to couple databases without fixed dependencies. The protocol http(s) is able to surmount the corporate firewall and query databases in the cloud.  A transparent layer made of table functions, views and instead-of-triggers can be placed over the connection.  This talk introduces REST, JSON and ORDS very briefly.  After the stage is set, we explore how to query auto-rest enabled tables from PL/SQL an process the JSON-documents.  Finally, a view with an instead-of-trigger is built that can be used by the application developers.   A generator that produces all necessary objects will be shown. The generator can be integrated into SQLDeveloper.   The presentation includes a live demo.",,20
User Group - Volunteer,10-APR-18,"Organisation and execution of the event ""DOAG DevOps Day 2018 "" on April, 10 2018 in Leipzig.",,"Organisation and execution of the event ""DOAG DevOps Day 2018 "" on April, 10 2018 in Leipzig.",,25
"Presenting - conference, SIG meeting, meet-up",10-APR-18,Ausrollen von Schema Änderungen mit Ansible und Liquibase,DOAG DevOps Day 2018,"Datenbankschemas und Applikationscode sind eng miteinander verknüpft, werden aber oft separat gepflegt und bereitgestellt. Das Open Source Projekt Liquibase beschreibt Schema-Änderungen mit JSON- oder YAML-Dokumenten. Liquibase erlaubt es, Datenbanken unterschiedlicher Hersteller zu beliefern und Schemas auf die gewünschte Version zu patchen. Ansible ist ein Open Source Automatisierungstool. In Ansible werden Aufgaben und Zielzustände definiert, die dann parallel auf einer Reihe von Remote-Zielen ausgeführt werden können. Ansible Playbooks sind wie die Changelogs von Liquibase JSON- oder YAML-Dokumente. Beide Tools zusammen ermöglichen eine effektive Versionskontrolle von Datenbankschema-Änderungen und das parallele Ausrollen auf mehreren Hosts. Agile und DevOps arbeiten Hand in Hand. Dieser Vortrag stellt die Tools Liquibase und Ansible vor und zeigt, wie sie gemeinsam eingesetzt werden können.",,20
"Presenting - conference, SIG meeting, meet-up",09-MAR-18,P61 Automatically deploy schema changes with Ansible and Liquibase by Robert Marz,OUGN Spring Seminar 2018,"Database schemas and application code are tightly coupled together, but often maintained and deployed separately.   The opensource project Liquibase helps you manage your schema changes by writing simple JSON or YAML documents. Liquibase makes it easy to deploy to different flavors of databases and roll changes back and forward.   Ansible is an opensource automation tool, that enables you to define and run tasks on a set of remote targets. Like Liquibase changelogs, Ansible playbooks are JSON or YAML documents.   Both two tools together enable you to effectively version control your database schema changes and deploy them to multiple hosts at the same time.   Agile and DevOps working hand in hand.   This talk introduces Liquibase and ansible and demonstrates how to use them together.   All sources and examples will be available for download.   This presentation includes live demos. ",,20
"Presenting - conference, SIG meeting, meet-up",08-MAR-18,"P118 rest-db-links - access Oracle Databases in the Cloud using ORDS, REST & JSON by Robert Marz",OUGN Spring Seminar 2018,"This talk covers a real-world solution, that recreates database links using ORDS, REST and JSON. It breaks the limits of database links by loosely coupling two databases. The complexity is completely hidden from users and developers.  Modern technologies such as REST and JSON offer elegant ways to couple databases without fixed dependencies. The protocol http(s) is able to surmount the corporate firewall and query databases in the cloud.  A transparent layer made of table functions, views and instead-of-triggers can be placed over the connection.  This talk introduces REST, JSON and ORDS very briefly. After the stage is set, we explore how to query auto-rest enabled tables from PL/SQL an process the JSON-documents. Finally, a view with an instead-of-trigger is built that can be used by the application developers.   A generator that produces all necessary objects will be shown. The generator can be integrated into SQLDeveloper.   The presentation includes a live demo.",,20
User Group - Volunteer,23-FEB-18,DOAG DB Community Summit,,Participated on DOAG DB Community Summit in Frankfurt 23-FEB-2018,,25
"Presenting - conference, SIG meeting, meet-up",19-JAN-18,Administration von Oracle Application Express & Oracle REST Data Services,DOAG Noon2Noon 2018: Apex For DBAs,"With Oracle APEX in the database, DBAs suddenly need to administrate web applications. The presentation highlights Apex and Oracle REST Data Services (ORDS) from the DBAs perspective and deals with the following topics:  - Oracle APEX: An overview for DBAs - Installation & Upgrade - Backup and Recovery - Metadata - Apex monitoring and administration - RESTfull Services from the database with ORDS - Apex in the cloud  This presentation includes live demonstrations.",,20
User Group - Volunteer,18-JAN-18,Noon2Noon 2018 - Apex for DBAs,,"Organisation and execution of the event ""DOAG Noon2Noon Apex for DBAs"" on 18 and 19 January 2018 in Münster together with Martin Klier.",,25
"Presenting - conference, SIG meeting, meet-up",04-DEC-17,Automate Oracle VM Server - Leverage the OVM-REST Interface,UKOUG Tech 17,04/12/2017 15:25 - 16:15,,20
User Group - Volunteer,23-NOV-17,DOAG 2017 - Panel: DevOps - Entwickler und DBAs an einem Strang?,,Organized & moderated panel discussion DevOps - Entwickler und DBAs an einem Strang?,,25
"Presenting - conference, SIG meeting, meet-up",21-NOV-17,Oracle VM Server via OVM-REST Interface automatisieren,DOAG 2017,"Dienstag, 21.11., 17:00 (45 min) Raum Budapest",,20
"Presenting - conference, SIG meeting, meet-up",21-SEP-17,"rest-db-links - Zugriff auf Datenbanken in der Cloud mit ORDS, REST & JSON",DOAG Regio Nürnberg/Franken,"Technische Hochschule ""Georg Simon Ohm"" Nürnberg, Raum ""WE.014"", Wassertorstrasse 10, 90489 Nürnberg",,20
